Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
1	12.0488204	9.5792419	2.9273177	1.8340898	0.0151942	0.2069020	0.0091279	0.0199753	0.0280808	0.0189412	0.0155259	0.0174277	0.0488866	0.0435229	-5.707
10	11.3749748	9.6055252	1.7285846	0.8684003	0.0089566	0.2019056	0.0018951	0.0439879	0.0371364	0.0543863	0.0447386	0.0159374	0.0608614	0.0477592	-1.216
20	11.7661616	9.7147572	1.2659436	2.4146899	0.0203223	0.1147291	0.0044806	0.0466572	0.0492733	0.0318408	0.0131557	0.0165486	0.0495914	0.0487153	-1.772
30	11.8463651	11.1100188	2.0995720	4.1306938	0.0095509	0.1957556	0.0071154	0.0261592	0.0328115	0.0174905	0.0094656	0.0095710	0.0388036	0.0450867	-2.505
40	10.9766352	8.8034303	2.3405444	1.9128393	0.0210938	0.1700977	0.0043876	0.0106247	0.0207953	0.0289178	0.0427818	0.0366882	0.0448130	0.0561293	-7.112
50	11.2907074	11.0053023	3.1891893	1.7389299	0.0267367	0.3165275	0.0024285	0.0159578	0.0133604	0.0252570	0.0338922	0.0326473	0.0553277	0.0389261	-1.934
60	8.9184297	8.4974421	1.5717219	0.9091609	0.0298820	0.1070733	0.0145536	0.0619711	0.0660092	0.0795335	0.0968663	0.0294712	0.0539650	0.0562914	-5.277
70	9.3131875	6.7671152	1.1085561	1.0210544	0.0308112	0.0736348	0.0225535	0.0618495	0.0807941	0.0590506	0.0670802	0.0286824	0.0751129	0.0650922	-5.971
80	8.4537684	7.9459638	1.2558339	0.8270731	0.0329249	0.1479338	0.0159663	0.0525753	0.0414569	0.0645695	0.0543176	0.0442246	0.0526505	0.0652111	-3.171
90	9.0833058	8.8880865	1.5283491	1.5420246	0.0295178	0.1690826	0.0105901	0.0389985	0.0508317	0.0428273	0.0360275	0.0343337	0.0541799	0.0484696	-1.762
100	10.8412248	10.4248533	1.5373632	1.5424356	0.0292948	0.0524721	0.0070194	0.0372299	0.0427450	0.0363216	0.0386723	0.0282499	0.0430972	0.0409274	-1.447
110	9.9987859	9.6849480	1.5738703	1.6214177	0.0154880	0.0843441	0.0068247	0.0301214	0.0274758	0.0380051	0.0375993	0.0171537	0.0491495	0.0494284	-1.968
120	10.6831458	10.5321726	1.1182070	1.9621045	0.0213272	0.0943160	0.0114345	0.0699519	0.0699350	0.0181192	0.0255653	0.0213847	0.0462756	0.0387686	-3.811
130	8.8360715	7.3757526	1.7643287	1.9265710	0.0119112	0.3418977	0.0087352	0.0570371	0.0537132	0.0429391	0.0195815	0.0111896	0.0976533	0.0766153	-4.675
140	10.3924004	9.4418069	2.0210354	2.6671404	0.0358566	0.1822604	0.0090548	0.0469506	0.0361711	0.0123085	0.0302254	0.0296708	0.0470526	0.0674331	-4.662
150	8.1606302	7.9292599	1.8910863	1.0504086	0.0297415	0.1871282	0.0094604	0.0313245	0.0217826	0.0426107	0.0216358	0.0266092	0.0661786	0.0522704	-3.333
160	8.7940838	8.0175006	1.0731486	1.4533438	0.0261963	0.0205399	0.0111998	0.0458709	0.0470188	0.0490754	0.0534638	0.0305063	0.0434054	0.0503860	-5.106
170	11.5540390	11.0924074	2.5228465	1.5539107	0.0206206	0.0602717	0.0102592	0.0324896	0.0230603	0.0359452	0.0399039	0.0207772	0.0644346	0.0403575	-3.824
180	8.8912555	8.6912733	2.3558519	1.0939894	0.0249845	0.1752536	0.0098757	0.0368167	0.0327374	0.0435522	0.0270193	0.0279099	0.0531182	0.0525517	-3.981
190	9.1088260	7.7952624	1.2975005	1.7486814	0.0283547	0.0790942	0.0141156	0.0478773	0.0580158	0.0478673	0.0334273	0.0247617	0.0576205	0.0764614	-3.126
200	11.5803875	8.3766201	1.9732808	1.3631536	0.0270137	0.0416748	0.0103934	0.0352523	0.0427174	0.0352449	0.0497268	0.0261859	0.0368066	0.0525444	-8.214
210	10.5454514	7.7809533	0.8135431	1.1150202	0.0150803	0.0839427	0.0052809	0.0447324	0.0484996	0.0221870	0.0242876	0.0183545	0.0419941	0.0510137	-7.360
220	11.1275139	10.0721900	1.2509295	2.6389060	0.0187685	0.1097967	0.0081385	0.0270846	0.0428928	0.0243105	0.0138924	0.0267091	0.0340441	0.0436105	-4.025
230	8.9588260	7.8444739	2.3538844	1.5439509	0.0437542	0.0640517	0.0362368	0.0264527	0.0385145	0.0433238	0.0397677	0.0492100	0.0653641	0.0583410	-7.930
240	11.2663244	10.9383753	1.4329941	1.0752824	0.0349520	0.1646340	0.0032867	0.0284787	0.0303230	0.0875459	0.0378473	0.0441819	0.0412823	0.0479101	-2.586
250	8.5963515	6.5165444	1.3488124	1.3193976	0.0430313	0.0189119	0.0351094	0.0341578	0.0398655	0.0486155	0.0409850	0.0393087	0.0508734	0.0578955	-9.428
260	11.7064691	10.8272006	2.3687413	0.9779734	0.0367487	0.0566098	0.0084087	0.0244153	0.0158481	0.0489061	0.0395912	0.0411532	0.0362179	0.0516533	-5.428
270	10.4582157	9.8186237	2.1517931	1.3453525	0.0419717	0.0849611	0.0200806	0.0307121	0.0186965	0.0624860	0.0316185	0.0427591	0.0427709	0.0371080	-5.525
280	9.0428320	8.5500260	2.0673323	0.7697759	0.0410688	0.0676035	0.0300858	0.0337058	0.0332643	0.0611418	0.0599363	0.0368674	0.0619214	0.0576039	-6.225
290	10.7000608	10.0784309	1.9077727	1.5294354	0.0311357	0.0705053	0.0120080	0.0320229	0.0442647	0.0372641	0.0575911	0.0351698	0.0408482	0.0344683	-5.588
300	9.4218164	8.6532829	2.7735776	2.4271584	0.0359635	0.1115603	0.0116384	0.0281542	0.0297430	0.0361172	0.0210808	0.0317176	0.0644996	0.0449065	-4.981
310	10.7324373	9.4401130	1.5531715	1.4666100	0.0149872	0.1350899	0.0039873	0.0525387	0.0291957	0.0389423	0.0395887	0.0216764	0.0620991	0.0612341	-1.424
320	11.2168333	10.2967413	4.4253964	4.7419270	0.0394546	0.1852132	0.0067568	0.0081262	0.0204431	0.0104921	0.0144008	0.0501939	0.0587814	0.0600365	-3.796
330	9.4622008	8.4213588	2.6404436	3.5905923	0.0439498	0.1387717	0.0101600	0.0112851	0.0305664	0.0151131	0.0274054	0.0310877	0.0773948	0.0914036	-5.060
340	11.9529213	11.8619127	5.7830496	1.6822459	0.0283344	0.1389622	0.0041401	0.0091972	0.0057635	0.0330402	0.0391263	0.0310877	0.0551077	0.0427262	-3.025
350	7.8963174	7.3603128	1.7696823	0.6321840	0.0337732	0.2332923	0.0147873	0.0293396	0.0629220	0.0772746	0.0630560	0.0339665	0.0839574	0.0765819	-4.483
360	10.0684362	8.2454350	1.7760778	1.0161547	0.0243763	0.1638944	0.0061493	0.0209664	0.0508374	0.0283134	0.0324273	0.0224107	0.0506367	0.0501088	-5.249
370	7.5071516	7.0365799	1.7098793	3.5681023	0.0784459	0.1806066	0.0142334	0.0391476	0.0576696	0.0256143	0.0132539	0.0657260	0.0508168	0.0991456	-5.380
380	11.6588460	10.3654819	4.1133584	3.1972278	0.0373979	0.3616290	0.0135958	0.0250474	0.0194595	0.0218496	0.0096868	0.0309530	0.0687069	0.0588041	-5.259
390	8.1663571	7.1517204	2.2855342	1.3307435	0.0371055	0.0767547	0.0129986	0.0370891	0.0294243	0.0780554	0.0651609	0.0554977	0.0630066	0.0487867	-8.452
400	10.7145670	10.2274306	1.7624438	1.7786653	0.0282808	0.0347953	0.0099072	0.0314172	0.0359516	0.0254962	0.0157866	0.0285312	0.0388047	0.0318378	-5.322
410	9.4483467	9.2908585	1.8846616	2.0028792	0.0400102	0.2952552	0.0040054	0.0200952	0.0302838	0.0155770	0.0353468	0.0360597	0.0728690	0.0608591	-2.627
420	9.8615294	9.6101332	1.8478692	1.2171802	0.0213355	0.0689522	0.0067127	0.0297498	0.0250367	0.0356506	0.0338759	0.0227853	0.0598030	0.0553598	-1.716
430	11.3725334	11.2269229	1.8105107	2.2078196	0.0182630	0.4200105	0.0041021	0.0293376	0.0343660	0.0152053	0.0257307	0.0195039	0.0302625	0.0362562	-4.821
440	9.3394201	7.2756977	0.7953323	1.8179498	0.0268169	0.1675976	0.0062242	0.0929078	0.0691045	0.0267869	0.0259334	0.0261308	0.0686155	0.0580759	-3.069
450	9.7274705	6.0864631	1.3888971	1.2723742	0.0135495	0.0838466	0.0061223	0.0486093	0.0417407	0.0686344	0.0509285	0.0312640	0.0796403	0.0695261	-4.211
460	10.8794437	6.2601658	1.3224127	0.7935243	0.0101238	0.1647563	0.0017890	0.0288833	0.0406288	0.0435381	0.0428805	0.0295717	0.0661002	0.0510529	-6.096
470	11.0059883	7.9108634	1.7546009	1.7070747	0.0155160	0.1148621	0.0047011	0.0236179	0.0319800	0.0356050	0.0243484	0.0243939	0.0567324	0.0609825	-2.445
480	8.9815089	8.8254072	1.7159025	1.7905658	0.0173738	0.2338204	0.0079531	0.0254022	0.0373645	0.0367854	0.0262523	0.0193055	0.0677487	0.0630042	-1.535
490	11.9837875	10.8726204	1.8302889	2.0523831	0.0167987	0.0812118	0.0158767	0.0342508	0.0419328	0.0230382	0.0272374	0.0179850	0.0446111	0.0374585	-4.221
500	9.7326784	8.1464718	1.3255139	1.4929928	0.0397995	0.0367026	0.0218254	0.0470838	0.0531516	0.0316701	0.0374427	0.0508670	0.0579567	0.0399346	-7.412
510	10.7906717	10.4287293	1.3816280	1.9891338	0.0444228	0.1233685	0.0087239	0.0560627	0.0625020	0.0386150	0.0287818	0.0474871	0.0358813	0.0400626	-3.580
520	9.1552687	7.3145221	1.1030820	1.8586074	0.0196598	0.1593725	0.0036565	0.0441002	0.0597935	0.0291626	0.0351990	0.0332983	0.0641450	0.0633275	-2.103
530	9.4948427	8.7651973	1.2374137	1.8922727	0.0306709	0.0512632	0.0128076	0.0594560	0.0538236	0.0346674	0.0345728	0.0317478	0.0630038	0.0672778	-2.706
540	8.2421327	6.8042002	0.6293014	0.7988418	0.0364515	0.1840250	0.0086774	0.0836242	0.0998875	0.0738298	0.0469688	0.0338683	0.0627394	0.0736380	-1.776
550	8.8136928	6.6796103	0.6541411	1.1885711	0.0240325	0.1046319	0.0029928	0.1157974	0.0818788	0.0738298	0.1038082	0.0231833	0.0723447	0.0736380	-6.386
560	8.5120110	8.0899734	0.9057430	1.6304068	0.0218677	0.1277792	0.0194590	0.0322595	0.0371307	0.0272023	0.0219714	0.0227711	0.0452627	0.0665879	-6.789
570	11.8113295	10.2605058	2.3293310	2.2242279	0.0325738	0.1518027	0.0052496	0.0404639	0.0411323	0.0215289	0.0367317	0.0322457	0.0594142	0.0727655	-4.806
580	11.6302350	8.7119638	1.7593248	2.4712705	0.0457462	0.2334769	0.0074681	0.0280663	0.0330002	0.0357123	0.0359972	0.0371725	0.0569161	0.0496894	-7.547
590	11.7590057	9.4936178	2.0017816	1.5768255	0.0439012	0.0340318	0.0152368	0.0313754	0.0234181	0.0163794	0.0220349	0.0496436	0.0435271	0.0469637	-8.728
600	7.9581787	7.7604964	2.3041664	2.4913061	0.0412408	0.1605340	0.0077591	0.0186617	0.0288112	0.0239509	0.0157083	0.0542521	0.0666775	0.0571290	-2.920
610	11.1091239	7.3629857	1.9689390	0.7490724	0.0320054	0.0436895	0.0151798	0.0264227	0.0324663	0.0517465	0.0415000	0.0375552	0.0478220	0.0583954	-9.347
620	8.0768649	6.8437803	0.9949160	1.4452883	0.0196000	0.3135944	0.0008453	0.0731519	0.0453358	0.0661545	0.0524824	0.0429697	0.0848816	0.0849232	-3.538
630	9.8520907	8.8525629	0.8933887	2.7274774	0.0338908	0.1906791	0.0081179	0.0968860	0.1103474	0.0127319	0.0150509	0.0355671	0.0553128	0.0607724	-4.903
640	11.1711114	9.9312202	1.2743080	3.1127883	0.0280998	0.0713020	0.0189141	0.0355860	0.0598383	0.0133368	0.0242158	0.0381188	0.0395428	0.0491358	-6.080
650	9.0255606	8.8826921	1.8197658	2.8612716	0.0279075	0.1180348	0.0080437	0.0325188	0.0421274	0.0172793	0.0132426	0.0309252	0.0555232	0.0425434	-5.028
660	10.6216540	10.5113102	1.9006522	1.8537538	0.0206452	0.0952842	0.0054416	0.0193577	0.0330624	0.0342516	0.0249835	0.0217489	0.0499636	0.0436022	-1.655
670	8.4611506	7.4919330	2.2861471	1.2702806	0.0121105	0.1743753	0.0225965	0.0273782	0.0447838	0.0524804	0.0466973	0.0148562	0.0616080	0.0477271	-5.913
680	9.0680530	7.5071156	1.2752713	0.9976383	0.0167281	0.0754588	0.0126593	0.0617444	0.0613497	0.0425189	0.0557732	0.0272380	0.0513054	0.0608220	-4.284
690	11.0381858	10.5422983	1.1636856	1.1924132	0.0224821	0.0421736	0.0089965	0.0400120	0.0435991	0.0340851	0.0396361	0.0207519	0.0287221	0.0406620	-4.724
700	9.2968583	9.1815611	1.5687084	1.0680322	0.0803021	0.1123964	0.0066453	0.0479328	0.0395966	0.0501135	0.0262998	0.0708259	0.0562680	0.0532594	-1.653
710	12.0202837	11.6583312	2.5256295	6.2147245	0.0632422	0.1244796	0.0088645	0.0159919	0.0148336	0.0101139	0.0156750	0.0557792	0.0463203	0.0574786	-7.741
720	10.8641132	10.2101097	2.9965394	5.4012776	0.0421446	0.1968235	0.0026798	0.0162068	0.0201280	0.0087612	0.0081341	0.0368134	0.0523182	0.0694490	-1.977
730	9.2854457	8.0470432	2.2655328	4.3351315	0.0611108	0.3617555	0.0146467	0.0242616	0.0364383	0.0170153	0.0137731	0.0546912	0.0665549	0.1057174	-3.680
740	11.2455261	10.9082403	3.2614261	4.8988520	0.0555447	0.1591782	0.0055677	0.0188979	0.0127372	0.0092373	0.0128009	0.0450560	0.0684552	0.0627105	-2.947
750	9.8144345	9.5200713	2.2391009	3.4391332	0.0525220	0.1644917	0.0170897	0.0216535	0.0180101	0.0105843	0.0115852	0.0535247	0.0406708	0.0692435	-6.118
760	10.5280134	8.8225447	1.1323815	1.7896082	0.0375792	0.3980174	0.0014264	0.0313928	0.0728866	0.0214328	0.0463955	0.0559690	0.0622978	0.0585766	-3.341
770	11.8824714	9.8586391	1.6223307	1.5791066	0.0362094	0.0260118	0.0177275	0.0322244	0.0465596	0.0334089	0.0337528	0.0438744	0.0489385	0.0430520	-5.843
780	11.5962393	10.9994902	1.8599149	1.3932961	0.0252975	0.0613546	0.0089273	0.0283222	0.0309746	0.0447699	0.0433056	0.0291507	0.0319761	0.0241374	-7.098
790	8.2960055	7.0506472	0.8689390	0.8952871	0.0383149	0.0284983	0.0279287	0.0595917	0.0647861	0.0678073	0.0546738	0.0441509	0.0542202	0.0599037	-5.545
800	8.4684082	7.3839593	1.0287424	0.4227379	0.0477712	0.0192232	0.0273601	0.0562345	0.0459937	0.0499218	0.0482017	0.0432520	0.0413920	0.0586842	-13.101
810	9.5752999	8.2399018	1.0914377	1.2514931	0.0494536	0.0945777	0.0129146	0.0387096	0.0551574	0.0297970	0.0409976	0.0494081	0.0776892	0.0652932	-6.401
820	10.5642449	10.1728677	1.5518641	0.7712315	0.0448241	0.0387789	0.0135199	0.0350859	0.0337271	0.0577557	0.0620093	0.0447829	0.0451303	0.0414658	-2.858
830	11.4883725	11.0926484	0.9402854	1.2044220	0.0503110	0.0657671	0.0126897	0.0383457	0.0479338	0.0348636	0.0354104	0.0455512	0.0412146	0.0411877	-4.393
840	9.3896728	8.9848033	1.5888319	1.2625559	0.0540524	0.0778112	0.0357492	0.0530565	0.0481410	0.0426561	0.0359393	0.0492119	0.0557555	0.0410787	-8.171
850	10.9745757	8.6883035	3.0099629	2.6736258	0.0198109	0.1424567	0.0022916	0.0269631	0.0206096	0.0308766	0.0260147	0.0253804	0.0786357	0.0738236	-1.806
860	8.9519925	6.1730147	1.4700719	0.9651401	0.0299851	0.1334901	0.0066394	0.0273401	0.0540827	0.0553237	0.0750806	0.0327273	0.0583529	0.0620991	-5.709
870	10.6746274	9.0299565	1.5038394	1.5295309	0.0259984	0.1094169	0.0162708	0.0328294	0.0225674	0.0327779	0.0234113	0.0261998	0.0485367	0.0634593	-6.372
880	9.8477770	7.4147958	1.8600546	1.2899673	0.0186193	0.2952226	0.0006632	0.0332957	0.0310283	0.0564564	0.0303347	0.0348411	0.0641331	0.0712557	-1.286
890	10.6443696	10.0512846	3.6846734	1.9056169	0.0337416	0.0967340	0.0133068	0.0141162	0.0127745	0.0177980	0.0228269	0.0398022	0.0593764	0.0404747	-4.372
900	11.1461683	10.6894588	4.6642453	3.4575564	0.0322225	0.2301777	0.0024675	0.0110982	0.0099902	0.0188504	0.0114954	0.0313387	0.0735996	0.0523455	-1.390
910	11.8616671	11.5866581	5.5913199	2.2299332	0.0211619	0.3598686	0.0017687	0.0077359	0.0139151	0.0329087	0.0066906	0.0168966	0.0585956	0.0530580	-3.229
920	10.5280731	10.1289540	3.3552972	2.5627689	0.0430576	0.1922031	0.0117676	0.0184197	0.0229994	0.0199949	0.0229677	0.0534484	0.0671477	0.0719744	-3.524
930	11.0242151	10.1289540	6.1746919	3.5082745	0.0392000	0.1922031	0.0070650	0.0062308	0.0084384	0.0081962	0.0145946	0.0329409	0.0777444	0.0624454	-4.690
940	12.1288848	11.8583975	6.1157315	5.3525426	0.0301767	0.5620009	0.0002936	0.0094288	0.0072046	0.0079555	0.0078464	0.0250053	0.0685851	0.0630924	-1.564
950	8.5789726	8.3876523	3.7476987	3.3769740	0.0488974	0.1894993	0.0061843	0.0085008	0.0305733	0.0093523	0.0170634	0.0454616	0.0628065	0.0729284	-6.128
960	11.3969846	11.1428195	3.6496374	4.3975741	0.0368070	0.1007596	0.0198041	0.0167988	0.0235496	0.0209458	0.0107771	0.0342208	0.0362782	0.0464735	-6.369
970	9.9220632	8.5798594	0.8881835	1.1996413	0.0325093	0.0568057	0.0106619	0.0672779	0.0588751	0.0376440	0.0340817	0.0403286	0.0439492	0.0522181	-3.294
980	12.2075995	12.0509154	1.4387645	0.7216960	0.0288061	0.1502161	0.0082352	0.0306323	0.0554867	0.0978493	0.0565022	0.0253521	0.0389834	0.0533544	-4.079
990	9.1201183	9.0030619	1.0523466	0.4892245	0.0296442	0.0777821	0.0165683	0.0665031	0.0584372	0.1309747	0.1348544	0.0339347	0.0521806	0.0644262	-3.922
1000	10.6014114	10.0496370	2.2097278	0.4286172	0.0321858	0.0993474	0.0083896	0.0297402	0.0365167	0.1263765	0.1384603	0.0359217	0.0456884	0.0416013	-1.926
1010	7.9799050	7.6463156	0.3178669	0.3951990	0.0427585	0.2376257	0.0180716	0.0633614	0.0787598	0.0751910	0.0969578	0.0519307	0.0565795	0.0368774	-11.416
1020	9.5228987	9.1291569	0.4917970	1.0861790	0.0430362	0.1047295	0.0061131	0.1155573	0.1053570	0.0374629	0.0500855	0.0425117	0.0467884	0.0440106	-1.784
1030	10.5785960	9.7975773	0.5072522	2.3436889	0.0196307	0.1670599	0.0050832	0.0959009	0.0926726	0.0250356	0.0102942	0.0226411	0.0543763	0.0481910	-3.799
1040	8.1890593	7.0118537	0.2553433	1.4948076	0.0267199	0.1162806	0.0048447	0.1142311	0.1439589	0.0340766	0.0222056	0.0308174	0.0627633	0.0444639	-8.016
1050	10.2606183	9.0540602	1.2884445	2.7070546	0.0697824	0.1999599	0.0066224	0.0825012	0.0319286	0.0161246	0.0161419	0.0336087	0.0502249	0.0493048	-4.522
1060	12.4120405	12.0713872	2.8244884	3.3340479	0.0528126	0.0687382	0.0239020	0.0249845	0.0379026	0.0249923	0.0184481	0.0458068	0.0419291	0.0472396	-7.372
1070	7.9296563	7.7120238	1.6799676	2.6062735	0.0656383	0.0705775	0.0111761	0.0391074	0.0403258	0.0338744	0.0186241	0.0717000	0.0656303	0.0695471	-2.103
1080	9.0941131	8.1339320	1.5992261	1.2985276	0.0558294	0.1066316	0.0073605	0.0374876	0.0527676	0.0355997	0.0565459	0.0622044	0.0636503	0.0625165	-2.217
1090	10.6848113	9.9874733	1.3233213	1.7943100	0.0488293	0.1801880	0.0056746	0.0440753	0.0430904	0.0294322	0.0156274	0.0402761	0.0403647	0.0442474	-2.317
1100	11.5327873	11.1989362	1.9882406	1.9706547	0.0372713	0.0637435	0.0063712	0.0323805	0.0275586	0.0247491	0.0295740	0.0392746	0.0339312	0.0355415	-3.173
1110	7.9803473	7.7312798	0.7363609	1.2047968	0.0526507	0.0589094	0.0346949	0.0743425	0.0497087	0.0286869	0.0281472	0.0564979	0.0625995	0.0666537	-8.726
1120	10.7585780	10.4439566	1.2737104	1.7659712	0.0472983	0.0779363	0.0111834	0.0416583	0.0487730	0.0372217	0.0375249	0.0455022	0.0477101	0.0591237	-3.086
1130	8.0517449	7.4823253	0.9127067	1.5150586	0.0430027	0.1125012	0.0113121	0.1012380	0.0559619	0.0360182	0.0529595	0.0582331	0.0816226	0.0581719	-4.827
1140	10.7040423	8.8977187	3.0438472	2.7087442	0.0283243	0.1528674	0.0031660	0.0261372	0.0187713	0.0249247	0.0095143	0.0420187	0.0650790	0.0656943	-2.222
1150	10.4847602	9.0075718	3.1328552	2.7087442	0.0265640	0.0724141	0.0139048	0.0222890	0.0223299	0.0207316	0.0165722	0.0290182	0.0531028	0.0398457	-6.284
1160	11.1855230	10.5682150	2.8752119	2.0515393	0.0184739	0.1020512	0.0139048	0.0135161	0.0277189	0.0296659	0.0297717	0.0190824	0.0537261	0.0370826	-4.288
1170	9.0112831	6.8014444	2.0132515	1.2829489	0.0175769	0.2217752	0.0075459	0.0320822	0.0263341	0.0516736	0.0519320	0.0208244	0.0545429	0.0770084	-4.923
1180	10.8316429	10.7290750	2.4902404	1.5811192	0.0154054	0.0997183	0.0045790	0.0407758	0.0212251	0.0272498	0.0575538	0.0161321	0.0637103	0.0530059	-2.141
1190	9.0590807	7.9658065	1.7850872	1.0805774	0.0172068	0.1508623	0.0046273	0.0702687	0.0296172	0.0561559	0.0609183	0.0375531	0.0615723	0.0657616	-3.171
1200	11.7638440	11.4866700	0.8765070	2.5254267	0.0331448	0.1068990	0.0070708	0.0945659	0.0580403	0.0268827	0.0193943	0.0409363	0.0362629	0.0397381	-1.840
1210	9.6500790	9.5945993	0.6917122	1.0168127	0.0116821	0.3915715	0.0045468	0.0685603	0.0577380	0.0328665	0.0354207	0.0112625	0.0446321	0.0557869	-2.758
1220	7.9997010	7.9537095	0.8401671	0.6511865	0.0140921	0.0787930	0.0123140	0.0885377	0.0786198	0.0395164	0.0652340	0.0145145	0.0436556	0.0552095	-5.334
1230	9.4247472	7.8848774	0.5550704	1.4518500	0.0129122	0.2412552	0.0030887	0.1148429	0.1056654	0.0353144	0.0488934	0.0134488	0.0463766	0.0609041	-1.846
1240	11.6107660	10.6222719	0.3770304	0.8772244	0.0446594	0.0700317	0.0132354	0.1031651	0.1099203	0.0360064	0.0470767	0.0441906	0.0358379	0.0397559	-5.805
1250	11.6107660	11.2377179	1.3620169	1.6258615	0.0350422	0.0434438	0.0096503	0.0616590	0.0511848	0.0419654	0.0437729	0.0335795	0.0467444	0.0512977	-2.623
1260	8.6858318	8.1271741	1.0966070	1.2130557	0.0480598	0.1052604	0.0068984	0.0751844	0.1263900	0.0308393	0.0584464	0.0461936	0.0644001	0.0687545	-5.300
1270	9.8434483	8.2893825	1.7703883	2.4021756	0.0498125	0.0979024	0.0077939	0.0348008	0.0485728	0.0312436	0.0318662	0.0525893	0.0538934	0.0690226	-3.730
1280	10.6878474	10.4299765	1.9677382	3.7075835	0.0396992	0.0292926	0.0208343	0.0292742	0.0387111	0.0249901	0.0183937	0.0419122	0.0333702	0.0515726	-6.600
1290	9.5469649	8.6263891	1.3878581	1.7127658	0.0475740	0.0371782	0.0249670	0.0350811	0.0426779	0.0299472	0.0239034	0.0502260	0.0433993	0.0426929	-6.448
1300	10.0009806	8.5882524	1.3679860	1.4119467	0.0133841	0.0569162	0.0070306	0.0463958	0.0356805	0.0603888	0.0340013	0.0241271	0.0324032	0.0550752	-5.525
1310	8.3955315	7.7590580	1.2608464	1.2824759	0.0244136	0.0485848	0.0122005	0.0502926	0.0665016	0.0740843	0.0541232	0.0295988	0.0474559	0.0505596	-4.978
1320	9.5681400	8.4832062	1.9131780	1.2789237	0.0294034	0.0374903	0.0186224	0.0251659	0.0294019	0.0334126	0.0327563	0.0333641	0.0532173	0.0440352	-4.870
1330	11.9516384	10.5591447	3.2107297	3.6162840	0.0132475	0.1232278	0.0064402	0.0267466	0.0265822	0.0135741	0.0206333	0.0119327	0.0518472	0.0451334	-4.004
1340	12.0131723	11.0862363	1.1217225	0.9766024	0.0182690	0.0678456	0.0044022	0.0272269	0.0717115	0.0312029	0.0278788	0.0257444	0.0422471	0.0326498	-5.014
1350	8.4383531	7.3713028	3.4786564	1.9289153	0.0456573	0.1378458	0.0096305	0.0191717	0.0163532	0.0351545	0.0207970	0.0631454	0.0646870	0.0528781	-5.784
1360	11.5183672	11.1530522	4.0221571	1.3389909	0.0197764	0.2153504	0.0011914	0.0088103	0.0209529	0.0760506	0.0507006	0.0188438	0.0501419	0.0530477	-4.161
1370	9.0294296	7.8110517	2.4442824	0.9795542	0.0340072	0.2160834	0.0147527	0.0116187	0.0188842	0.0490666	0.0268356	0.0380042	0.0558562	0.0413444	-7.001
1380	11.2995052	9.2506754	2.1464432	2.5390742	0.0273749	0.1563144	0.0181819	0.0276588	0.0276346	0.0168906	0.0174957	0.0318909	0.0460316	0.0435388	-6.407
1390	8.3330509	7.7896534	0.7744534	1.1288601	0.0208385	0.2094781	0.0071226	0.0836326	0.0919548	0.0368861	0.0625534	0.0239995	0.0618142	0.0638844	-1.003
1400	10.6426371	9.7726381	1.0714843	1.4809675	0.0277985	0.0398973	0.0148323	0.0728246	0.0603409	0.0274991	0.0341831	0.0278570	0.0419527	0.0451657	-3.787
1410	11.5488611	10.1707222	0.8311830	1.2869083	0.0325902	0.0637952	0.0119375	0.0637802	0.0538758	0.0300103	0.0275117	0.0479618	0.0423900	0.0365487	-5.302
1420	8.1602839	8.1290254	1.3449392	1.5877215	0.0536356	0.1359559	0.0060629	0.0450484	0.0446895	0.0402126	0.0454694	0.0547121	0.0618498	0.0559854	-1.564
1430	11.2201516	9.9706668	2.6214374	1.2088807	0.0407690	0.0180207	0.0177039	0.0299861	0.0259872	0.0551638	0.0524519	0.0446065	0.0492600	0.0399605	-5.023
1440	11.4552250	11.1725959	3.2411976	1.0682668	0.0384011	0.0750656	0.0143529	0.0208517	0.0150811	0.0877582	0.0921303	0.0420157	0.0463690	0.0479876	-7.374
1450	11.3124416	11.1725959	3.2232942	1.0502986	0.0384011	0.1162827	0.0166751	0.0200897	0.0264523	0.0548976	0.0377760	0.0409838	0.0504322	0.0334959	-3.951
1460	11.0789986	8.4884463	2.3646624	1.0286247	0.0285493	0.0590114	0.0069225	0.0182604	0.0263422	0.0560543	0.0464171	0.0314557	0.0512297	0.0537666	-3.371
1470	8.2873864	7.0503832	1.5458084	0.9959512	0.0135652	0.1900562	0.0058919	0.0338965	0.0494501	0.0442965	0.0622814	0.0218123	0.0901603	0.0788851	-1.391
1480	9.5544289	6.6532896	1.5174341	0.8445246	0.0051376	0.1905406	0.0145928	0.0323916	0.0355799	0.0676925	0.0715433	0.0119415	0.0725841	0.0653614	-3.253
