Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
2110	10.7374773	9.4971413	1.8077462	2.1726886	0.0436076	0.0488248	0.0275391	0.0396296	0.0486995	0.0414297	0.0326082	0.0479239	0.0450294	0.0630601	-9.156
2120	9.2884933	8.7776113	1.3073972	0.8907911	0.0487978	0.0086158	0.0308168	0.0410965	0.0388299	0.0492609	0.0509570	0.0468457	0.0503888	0.0514738	-6.717
2130	11.4799122	11.3437531	1.3754204	1.5259266	0.0345279	0.0494633	0.0089015	0.0404502	0.0424182	0.0242484	0.0394297	0.0362484	0.0306404	0.0398296	-3.492
2140	11.1229637	10.9910383	1.6291532	1.7164839	0.0356360	0.0067987	0.0249882	0.0405605	0.0437794	0.0438779	0.0406950	0.0374117	0.0365229	0.0411077	-5.951
2150	10.2858689	9.2318916	1.3432141	1.5613028	0.0296792	0.0156131	0.0230298	0.0463297	0.0499558	0.0404389	0.0330023	0.0326991	0.0408192	0.0378859	-5.967
2160	10.9695965	8.4185014	1.2747982	1.6530026	0.0231104	0.1469620	0.0043650	0.0291242	0.0731332	0.0437477	0.0358059	0.0198440	0.0480083	0.0559092	-2.846
2170	9.1949799	7.0026593	2.1086380	2.3732569	0.0363049	0.0999778	0.0095299	0.0313134	0.0312297	0.0253963	0.0199620	0.0424619	0.0678207	0.0571543	-5.200
2180	10.1868259	9.8939042	2.4636780	3.5863481	0.0318637	0.1768942	0.0038821	0.0351778	0.0323146	0.0211909	0.0099641	0.0332438	0.0766559	0.1007419	-4.313
2190	11.3054250	10.1035943	2.2513370	2.1981211	0.0202851	0.1064268	0.0121841	0.0306859	0.0254091	0.0169692	0.0341043	0.0418632	0.0437922	0.0410784	-4.847
2200	10.1954544	9.7529799	2.5084889	3.3648507	0.0386575	0.1977450	0.0037329	0.0358320	0.0290991	0.0132596	0.0164337	0.0447353	0.0593105	0.0686117	-1.300
2210	9.9665953	9.3791070	3.6052873	1.1250192	0.0212410	0.1977450	0.0016195	0.0168899	0.0125872	0.0596005	0.0403681	0.0244594	0.0739007	0.0695361	-1.560
2220	9.5669898	9.1974410	4.6428612	1.3210373	0.0527150	0.3474597	0.0018359	0.0109668	0.0203611	0.0577359	0.0239334	0.0585301	0.0796988	0.0611332	-1.782
2230	8.4233324	8.3734145	1.5020517	0.6349794	0.0634437	0.5160978	0.0044815	0.0319589	0.0432014	0.0619355	0.1511419	0.0698855	0.0796900	0.0626741	-2.383
2240	10.4310898	9.9883769	3.7058597	3.1027520	0.0268540	0.1392619	0.0054665	0.0212915	0.0232744	0.0233390	0.0244522	0.0311006	0.0625083	0.0629854	-1.932
2250	8.5637145	8.3377222	2.3052073	2.1123514	0.0360745	0.1413167	0.0116566	0.0396033	0.0382397	0.0279596	0.0203964	0.0392849	0.0766072	0.0533688	-3.970
2260	10.5737321	10.2946965	1.8947132	1.4709938	0.0195886	0.2067967	0.0023887	0.0418108	0.0248461	0.0314785	0.0428472	0.0184835	0.0679512	0.0497345	-1.766
2270	10.2638388	10.2002244	1.7809011	0.9151348	0.0265219	0.0780548	0.0165711	0.0218333	0.0398447	0.0565987	0.0394263	0.0256589	0.0491923	0.0436452	-3.451
2280	8.8522173	8.5860579	1.6111828	0.7996418	0.0315079	0.0547002	0.0151109	0.0456072	0.0405805	0.0939414	0.0665893	0.0304827	0.0475012	0.0461586	-2.803
2290	8.9337024	8.5860579	1.0892501	0.9840029	0.0351980	0.0488389	0.0232281	0.0425384	0.0405805	0.0724845	0.0665893	0.0334267	0.0444412	0.0560882	-5.814
2300	8.3841934	8.0619657	1.2429316	1.6540729	0.0371176	0.1618583	0.0280081	0.0742136	0.0511425	0.0419741	0.0289887	0.0424502	0.0559325	0.0486414	-5.556
2310	11.4583943	11.3030239	1.9222014	2.6536435	0.0231362	0.0298984	0.0124098	0.0305865	0.0293005	0.0261634	0.0207602	0.0222456	0.0406537	0.0363341	-3.281
2320	11.3656242	10.2880342	1.9409622	2.8307669	0.0367082	0.1478931	0.0038584	0.0332529	0.0338204	0.0098894	0.0240239	0.0224272	0.0441363	0.0399319	-4.187
2330	9.2035373	8.9436172	1.5617370	1.8795967	0.0514964	0.3729627	0.0029783	0.0222024	0.0450041	0.0208757	0.0429585	0.0525446	0.0582992	0.0716724	-2.111
2340	9.7958348	9.3703591	2.4934648	2.4266381	0.0525304	0.1080771	0.0107183	0.0263795	0.0218212	0.0268329	0.0397141	0.0428927	0.0533948	0.0550993	-3.990
2350	9.6167467	8.4449349	3.6152454	1.3038197	0.0340381	0.3848504	0.0040020	0.0259835	0.0240825	0.0795745	0.0638879	0.0585820	0.0910011	0.0591933	-4.693
2360	9.6249644	9.1378892	2.5028677	1.0901052	0.0303928	0.0597913	0.0135635	0.0294642	0.0349234	0.0490528	0.0412017	0.0358734	0.0591853	0.0529807	-2.837
2370	10.3470338	10.0510644	7.2127352	1.4220333	0.0308204	0.1799454	0.0175766	0.0090074	0.0121942	0.0415393	0.0253220	0.0251049	0.0872133	0.0485194	-6.993
2380	10.9983533	10.0857634	6.5756522	1.7228312	0.0269175	0.3373435	0.0026910	0.0145747	0.0108324	0.0342868	0.0363466	0.0235119	0.1473125	0.0442013	-2.448
2390	8.5521934	8.4329129	3.2295812	1.0086370	0.0221953	0.2853833	0.0075417	0.0235354	0.0230771	0.0386282	0.0537879	0.0230675	0.0825562	0.0649489	-1.448
2400	9.8635615	9.6651987	3.6856081	1.3397423	0.0393387	0.2231472	0.0054556	0.0357525	0.0167255	0.0471604	0.0432814	0.0365684	0.0604150	0.0721753	-5.622
2410	10.0706806	9.6651987	2.4194951	1.3397423	0.0393387	0.0499131	0.0130320	0.0348303	0.0294541	0.0471604	0.0433273	0.0495430	0.0445375	0.0457138	-3.435
2420	8.4644481	7.3315131	2.2355559	0.5915173	0.0479511	0.1193640	0.0109009	0.0214029	0.0173108	0.0760666	0.1366358	0.0604463	0.0640588	0.0506030	-5.588
2430	9.1696263	7.5055559	3.4096496	0.5704293	0.0254521	0.1674874	0.0277498	0.0151797	0.0227232	0.0598486	0.0982895	0.0318278	0.0999966	0.0605813	-7.046
2440	11.5446596	9.7231701	3.7912344	1.1918315	0.0082558	0.3636398	0.0015597	0.0130209	0.0191792	0.0251450	0.0415515	0.0152203	0.0564348	0.0543674	-3.082
